route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
9948,1,6174596,the Richmond District,0,116,121436
9948,1,6174401,the Richmond District,0,122,121436
9948,1,6174595,the Richmond District,0,114,121436
9948,1,6174400,the Richmond District,0,113,121436
9948,1,6174399,the Richmond District,0,102,121436
9948,1,6174398,the Richmond District,0,151,121436
9948,1,6174594,the Richmond District,0,112,121436
9948,1,6174397,the Richmond District,0,111,121436
9948,1,6174396,the Richmond District,0,110,121436
9948,1,6174395,the Richmond District,0,120,121436
9948,1,6174394,the Richmond District,0,119,121436
9948,1,6174393,the Richmond District,0,118,121436
9948,1,6174568,the Richmond District,0,117,121436
9948,1,6174546,the Richmond District,0,123,121436
9948,1,6174545,the Richmond District,0,107,121436
9948,1,6174544,the Richmond District,0,106,121436
9948,1,6174543,the Richmond District,0,116,121436
9948,1,6174542,the Richmond District,0,122,121436
9948,1,6174541,the Richmond District,0,114,121436
9948,1,6174540,the Richmond District,0,115,121436
9948,1,6174539,the Richmond District,0,113,121436
9948,1,6174538,the Richmond District,0,102,121436
9948,1,6174560,the Richmond District,0,151,121436
9948,1,6174572,the Richmond District,0,112,121436
9948,1,6174536,the Richmond District,0,111,121436
9948,1,6174535,the Richmond District,0,110,121436
9948,1,6174534,the Richmond District,0,120,121436
9948,1,6174533,the Richmond District,0,119,121436
9948,1,6174532,the Richmond District,0,118,121436
9948,1,6174531,the Richmond District,0,117,121436
9948,1,6174530,the Richmond District,0,101,121436
9948,1,6174529,the Richmond District,0,154,121436
9948,1,6174528,the Richmond District,0,105,121436
9948,1,6174527,the Richmond District,0,153,121436
9948,1,6174526,the Richmond District,0,152,121436
9948,1,6174525,the Richmond District,0,104,121436
9948,1,6174524,the Richmond District,0,109,121436
9948,1,6174427,the Richmond District,0,103,121436
9948,1,6174571,the Richmond District,0,151,121436
9948,1,6174424,the Richmond District,0,123,121436
9948,1,6174593,the Richmond District,0,107,121436
9948,1,6174591,the Richmond District,0,106,121436
9948,1,6174590,the Richmond District,0,116,121436
9948,1,6174588,the Richmond District,0,122,121436
9948,1,6174587,the Richmond District,0,114,121436
9948,1,6174585,the Richmond District,0,115,121436
9948,1,6174584,the Richmond District,0,113,121436
9948,1,6174582,the Richmond District,0,102,121436
9948,1,6174581,the Richmond District,0,112,121436
9948,1,6174579,the Richmond District,0,111,121436
9948,1,6174578,the Richmond District,0,110,121436
9948,1,6174577,the Richmond District,0,120,121436
9948,1,6174576,the Richmond District,0,109,121436
9948,1,6174575,the Richmond District,0,119,121436
9948,1,6174574,the Richmond District,0,118,121436
9948,1,6174573,the Richmond District,0,117,121436
9948,1,6174423,the Richmond District,0,107,121436
9948,1,6174422,the Richmond District,0,101,121436
9948,1,6174421,the Richmond District,0,106,121436
9948,1,6174523,the Richmond District,0,116,121436
9948,1,6174522,the Richmond District,0,105,121436
9948,1,6174521,the Richmond District,0,122,121436
9948,1,6174520,the Richmond District,0,114,121436
9948,1,6174519,the Richmond District,0,104,121436
9948,1,6174518,the Richmond District,0,115,121436
9948,1,6174517,the Richmond District,0,113,121436
9948,1,6174516,the Richmond District,0,103,121436
9948,1,6174515,the Richmond District,0,102,121436
9948,1,6174514,the Richmond District,0,112,121436
9948,1,6174513,the Richmond District,0,123,121436
9948,1,6174512,the Richmond District,0,111,121436
9948,1,6174511,the Richmond District,0,110,121436
9948,1,6174510,the Richmond District,0,120,121436
9948,1,6174509,the Richmond District,0,109,121436
9948,1,6174508,the Richmond District,0,119,121436
9948,1,6174507,the Richmond District,0,118,121436
9948,1,6174506,the Richmond District,0,117,121436
9948,1,6174505,the Richmond District,0,107,121436
9948,1,6174504,the Richmond District,0,101,121436
9948,1,6174503,the Richmond District,0,106,121436
9948,1,6174502,the Richmond District,0,116,121436
9948,1,6174501,the Richmond District,0,105,121436
9948,1,6174500,the Richmond District,0,122,121436
9948,1,6174499,the Richmond District,0,114,121436
9948,1,6174498,the Richmond District,0,104,121436
9948,1,6174497,the Richmond District,0,115,121436
9948,1,6174496,the Richmond District,0,113,121436
9948,1,6174495,the Richmond District,0,103,121436
9948,1,6174494,the Richmond District,0,102,121436
9948,1,6174493,the Richmond District,0,112,121436
9948,1,6174492,the Richmond District,0,123,121436
9948,1,6174491,the Richmond District,0,111,121436
9948,1,6174490,the Richmond District,0,110,121436
9948,1,6174489,the Richmond District,0,120,121436
9948,1,6174488,the Richmond District,0,109,121436
9948,1,6174487,the Richmond District,0,119,121436
9948,1,6174486,the Richmond District,0,118,121436
9948,1,6174485,the Richmond District,0,117,121436
9948,1,6174484,the Richmond District,0,107,121436
9948,1,6174483,the Richmond District,0,101,121436
9948,1,6174598,the Richmond District,0,106,121436
9948,1,6174597,the Richmond District,0,116,121436
9948,1,6174482,the Richmond District,0,105,121436
9948,1,6174481,the Richmond District,0,122,121436
9948,1,6174480,the Richmond District,0,114,121436
9948,1,6174478,the Richmond District,0,104,121436
9948,1,6174477,the Richmond District,0,115,121436
9948,1,6174476,the Richmond District,0,113,121436
9948,1,6174386,the Richmond District,0,103,121436
9948,1,6174385,the Richmond District,0,102,121436
9948,1,6174475,the Richmond District,0,112,121436
9948,1,6174459,the Richmond District,0,123,121436
9948,1,6174474,the Richmond District,0,111,121436
9948,1,6174473,the Richmond District,0,110,121436
9948,1,6174537,the Richmond District,0,120,121436
9948,1,6174472,the Richmond District,0,109,121436
9948,1,6174457,the Richmond District,0,119,121436
9948,1,6174456,the Richmond District,0,118,121436
9948,1,6174455,the Richmond District,0,117,121436
9948,1,6174469,the Richmond District,0,107,121436
9948,1,6174468,the Richmond District,0,101,121436
9948,1,6174467,the Richmond District,0,106,121436
9948,1,6174466,the Richmond District,0,116,121436
9948,1,6174465,the Richmond District,0,105,121436
9948,1,6174464,the Richmond District,0,114,121436
9948,1,6174463,the Richmond District,0,104,121436
9948,1,6174462,the Richmond District,0,113,121436
9948,1,6174461,the Richmond District,0,102,121436
9948,1,6174460,the Richmond District,0,112,121436
